location|day_bucket|checkpoint_time|employee_id|employee_first|employee_last
NC1C|20160309|2016-03-09 13:05:51+0000|P35256|Dave|DiGilo
NC1C|20160308|2016-03-08 14:04:33+0000|M28347|Alan|Horowitz
NC1C|20160308|2016-03-08 13:59:58+0000|K34595|Roy|Kleinberg
NC1C|20160307|2016-03-07 13:00:03+0000|N42395|Alan|Bradley
NC2B|20160309|2016-03-09 14:00:35+0000|G23144|Mike|Gabrielse
NC2B|20160309|2016-03-09 13:03:45+0000|A88123|Kevin|Flynn
NC2B|20160309|2016-03-09 12:59:23+0000|N23489|Joe|Kosinski
NC2B|20160307|2016-03-07 15:39:11+0000|J42398|Scott|Holden
NC1B|20160309|2016-03-09 13:44:21+0000|C39428|Walter|Gibbs
NC1B|20160309|2016-03-09 12:59:34+0000|B23523|Lora|Baines
NC1B|20160308|2016-03-08 13:39:12+0000|Z23844|Rick|Deckard
NC1A|20160309|2016-03-09 13:59:02+0000|G38942|Tiffany|Minami
NC1A|20160309|2016-03-09 13:51:51+0000|B43897|Paul|Lemke
NC1A|20160309|2016-03-09 13:22:41+0000|J28345|Travis|Gagnon
NC1A|20160309|2016-03-09 13:00:03+0000|M28347|Alan|Horowitz
NC1A|20160309|2016-03-09 12:45:23+0000|U23442|Steve|Bowen
NC1A|20160308|2016-03-08 15:24:02+0000|G23144|Mike|Gabrielse
NC1A|20160308|2016-03-08 14:30:01+0000|B33352|Aaron|Herman
NC1A|20160308|2016-03-08 14:10:35+0000|N23489|Joe|Kosinski
NC1A|20160308|2016-03-08 14:05:24+0000|P35256|Dave|DiGilo
NC1A|20160308|2016-03-08 14:01:43+0000|A88123|Kevin|Flynn
NC1A|20160308|2016-03-08 13:44:34+0000|G22340|Ed|Dillinger
NC1A|20160308|2016-03-08 13:03:05+0000|N42395|Alan|Bradley
NC1A|20160307|2016-03-07 13:59:44+0000|M28347|Alan|Horowitz
NC1A|20160307|2016-03-07 13:57:54+0000|B23523|Lora|Baines
NC1A|20160307|2016-03-07 13:22:13+0000|C39428|Walter|Gibbs
NC1A|20160307|2016-03-07 12:55:33+0000|A88123|Kevin|Flynn
NC3B|20160308|2016-03-08 15:05:33+0000|J25235|Mark|Peters
NC3B|20160307|2016-03-07 15:25:33+0000|Z23844|Rick|Deckard
NC4C|20160307|2016-03-07 14:22:43+0000|J25235|Mark|Peters
NC4C|20160307|2016-03-07 14:11:56+0000|O38427|Jon|Luecke
NC3A|20160308|2016-03-08 15:27:22+0000|G38942|Tiffany|Minami
NC3A|20160308|2016-03-08 15:01:59+0000|U23442|Steve|Bowen
NC3A|20160308|2016-03-08 13:59:59+0000|U49824|Scott|Bones
NC2C|20160309|2016-03-09 13:41:35+0000|Z23844|Rick|Deckard
NC2C|20160309|2016-03-09 13:15:32+0000|B33352|Aaron|Herman
NC2C|20160308|2016-03-08 14:00:01+0000|B23523|Lora|Baines
NC2C|20160307|2016-03-07 13:09:54+0000|G22340|Ed|Dillinger
NC3C|20160308|2016-03-08 15:21:51+0000|B43897|Paul|Lemke
NC3C|20160307|2016-03-07 14:00:02+0000|P35256|Dave|DiGilo
NC2A|20160309|2016-03-09 13:55:12+0000|U49824|Scott|Bones
NC2A|20160308|2016-03-08 15:22:40+0000|J28345|Travis|Gagnon
NC2A|20160308|2016-03-08 14:55:32+0000|O38427|Jon|Luecke
NC2A|20160308|2016-03-08 14:05:23+0000|C39428|Walter|Gibbs
NC2A|20160307|2016-03-07 15:04:55+0000|U49824|Scott|Bones
NC2A|20160307|2016-03-07 15:04:42+0000|B43897|Paul|Lemke
NC2A|20160307|2016-03-07 13:36:34+0000|K34595|Roy|Kleinberg
NC4A|20160307|2016-03-07 15:02:00+0000|G38942|Tiffany|Minami
NC4A|20160307|2016-03-07 14:50:11+0000|G23144|Mike|Gabrielse
NC4A|20160307|2016-03-07 14:16:12+0000|U23442|Steve|Bowen
NC4A|20160307|2016-03-07 14:04:23+0000|B33352|Aaron|Herman
NC4A|20160307|2016-03-07 14:02:45+0000|J28345|Travis|Gagnon
NC4A|20160307|2016-03-07 14:00:55+0000|N23489|Joe|Kosinski
